"When the campus Wi-Fi crashed again, I muttered, 'Are you kidding me? This is bullshit.'","Frustrated"
"I'd been trying to push code for two hours, and the repo kept timing out.","Frustrated"
"'What the hell is wrong with this setup?'","Angry"
"My friend shrugged and said to reboot.","Neutral"
"I did—nothing changed.","Disappointed"
"Another timeout.","Annoyed"
"Another wasted minute.","Annoyed"
"'This is crap,' I snapped.","Angry"
"'Who designed this damn network, a freaking potato?'","Sarcastic"
"By the third failure I was pissed.","Angry"
"The UI froze, the terminal hung, and my patience evaporated.","Frustrated"
"'Fix your bloody servers already!'","Angry"
"I hammered the Enter key like an idiot, knowing it wouldn't help.","Frustrated"
"A classmate chimed in: 'Calm down.'","Neutral"
"'Calm down? Screw that. I've got a deadline.'","Defensive"
"He smirked. 'Maybe your code sucks.'","Provocative"
"That did it.","Angry"
"'Shut the hell up,' I shot back.","Hostile"
"'I'm tired, I'm hungry, and this stupid network is a freaking nightmare.'","Exhausted"
"I took a breath, stared at the screen, and noticed a tiny warning: authentication token expired.","Reflective"
"'You've got to be kidding me.'","Realization"
"One refresh, one login, and suddenly everything worked.","Relieved"
"The push went through in seconds.","Satisfied"
"I slumped back, embarrassed.","Embarrassed"
"Maybe the system wasn't the only problem; maybe I'd been a jerk.","Self-reflective"
"I messaged the classmate: 'Sorry. I was frustrated.'","Apologetic"
"He replied with a thumbs-up and a link to a guide.","Accepting"
"I bookmarked it, whispered 'damn,' and promised myself to read the error messages before yelling at the void next time.","Resolved"
